europeana_id,dcFormat,dctermsExtent,dcPublisher,dcRights,dcSource
/2058611/_kimnet_cho_bbea2cab_8706_468e_bec9_424661f764eb,,,,,Archäologie und Museum Baselland
/628/Pb_100940,,,,Międzynarodowe Centrum Zarządzania Informacją; International Centre for Information Management Systems and Services (ICIMSS),
/628/Pb_100941,,,,Międzynarodowe Centrum Zarządzania Informacją; International Centre for Information Management Systems and Services (ICIMSS),
/628/Pb_100946,,,,Międzynarodowe Centrum Zarządzania Informacją; International Centre for Information Management Systems and Services (ICIMSS),
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11045761,polychromé; cuit[céramique],hauteur: 11.5 cm; height: 11.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11045762,polychromé; cuit[céramique],,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11045764,polychromé; cuit[céramique],hauteur: 18.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11048916,cuit[céramique]; technique d'émaillage; enameling technique,hauteur: 10 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11048917,cuit[céramique]; technique d'émaillage; enameling technique,hauteur: 9 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11055481,doré; polychromé; cuit[céramique]; golden,diamètre: 13 cm  hauteur: 12 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11055482,doré; polychromé; cuit[céramique]; golden,hauteur: 12 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11055487,polychromé; cuit[céramique],hauteur: 12 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11055519,cuit[céramique]; technique d'émaillage; enameling technique,hauteur: 11.5 cm; height: 11.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11055536,technique de sculpture; cuit[céramique],hauteur: 10.5 cm  largeur: 16 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11055559,painted; peint; cuit[céramique],hauteur: 10.6 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11055585,doré; polychromé; cuit[céramique]; golden,hauteur: 11 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11055586,doré; polychromé; cuit[céramique]; golden,hauteur: 14.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11055953,cuit[céramique],hauteur: 12 cm  largeur: 19 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056141,polychromé; cuit[céramique],,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056142,polychromé; cuit[céramique],hauteur: 11.5 cm; height: 11.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056143,polychromé; cuit[céramique],hauteur: 10.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056144,polychromé; cuit[céramique],hauteur: 11 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056145,polychromé; cuit[céramique],hauteur: 9.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056146,ajouré[sculpture]; polychromé; cuit[céramique],hauteur: 12 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056147,ajouré[sculpture]; polychromé; cuit[céramique],hauteur: 15.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056148,polychromé; cuit[céramique],hauteur: 10.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056149,polychromé; cuit[céramique],hauteur: 12 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056150,doré; polychromé; cuit[céramique]; golden,hauteur: 11 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056151,polychromé; cuit[céramique],hauteur: 10.7 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056152,doré; polychromé; cuit[céramique]; golden,hauteur: 10 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056153,doré; polychromé; cuit[céramique]; golden,hauteur: 12 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056154,doré; polychromé; cuit[céramique]; golden,hauteur: 13.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056155,polychromé; cuit[céramique],hauteur: 16.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056156,polychromé; cuit[céramique],hauteur: 11 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056158,polychromé; cuit[céramique],hauteur: 11.3 cm; height: 11.3 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056159,polychromé; cuit[céramique],hauteur: 11 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056160,polychromé; cuit[céramique],hauteur: 13 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056161,polychromé; cuit[céramique],hauteur: 12.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056162,polychromé; cuit[céramique],hauteur: 13.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056163,polychromé; cuit[céramique],hauteur: 12 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056181,polychromé; cuit[céramique],,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056184,doré; peint; cuit[céramique]; painted; golden,hauteur: 15.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056185,painted; peint; cuit[céramique],hauteur: 12 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056187,polychromé; cuit[céramique],hauteur: 14.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056188,ajouré[sculpture]; polychromé; cuit[céramique],hauteur: 14.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056189,enameling technique; polychromé; cuit[céramique]; technique d'émaillage,,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056191,polychromé; cuit[céramique],hauteur: 16 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056192,doré; polychromé; cuit[céramique]; golden,,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056193,polychromé; cuit[céramique],hauteur: 14 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056194,polychromé; cuit[céramique],hauteur: 12.3 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056195,polychromé; cuit[céramique],hauteur: 12.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056197,painted; peint; cuit[céramique],hauteur: 12.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056207,painted; peint; cuit[céramique],hauteur: 11 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056208,painted; peint; cuit[céramique],hauteur: 11.7 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056209,polychromé; cuit[céramique],hauteur: 10 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056210,polychromé; cuit[céramique],hauteur: 12 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056212,polychromé; cuit[céramique],hauteur: 5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056214,technique de sculpture; polychromé; cuit[céramique],hauteur: 15 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056215,ajouré[sculpture]; polychromé; cuit[céramique],hauteur: 12 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056216,polychromé; cuit[céramique],hauteur: 13 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056218,ajouré[sculpture]; peint; cuit[céramique]; painted,hauteur: 15.5 cm,,,
