10Verdeling,5Verdeling,Average Side,Average Side (per 1 cm),Average Side (per 2cm),Average Year,AverageSide5,Cities,Combined First Second Year,Country of Organisation,Country of Origin,Country2,Crossextended Format,DateOrigin (edmTimespanLabel),EID,EuropeanaLink (guid),First Fourdigits Year Number,ImagePreviewCleaned (edmPreview),Language,Materials,Organisation (Data Provider),Place Label,Provider Cleaned,RelatedConceptsCleaned (edmConceptPrefLabelLangAware),RelatedCOnceptsCleanedClusteredReconciledExtractedNoDuplicates (EdmConceptLabel),Rights,Second Four Digits Year Number,Short Description,Size Diameter,Size Diameter (per 1cm),Size Height,Size Height (per 1cm),Size Length,Size Length (per 1cm),Size Width,Size Width (per 1cm),Size(Extent),SizeDiameter2,SizeDiameter5,SizeHeight2,SizeHeight5,SizeLength2,SizeLength5,SizeWidth2,SizeWidth5,Subject,Timestamp Created,Timestamp Update,Title (title),TitleLongCleaned (dcTitleLangAware),Type,Year Cleaned,Year Of Origin (per 25),100Verdeling,50Verdeling,Hcopy,Latitude Average,Lcopy,Longitude Average,Size Diameter COPY,Size Height COPY,Size Length COPY,Size Width COPY,Wcopy
,,0,0,0,0,0,Liestal,-,Switzerland,Switzerland,Liestal,,1. Hälfte 20. Jahrhundert,/2058611/_kimnet_cho_bbea2cab_8706_468e_bec9_424661f764eb,https://www.europeana.eu/item/2058611/_kimnet_cho_bbea2cab_8706_468e_bec9_424661f764eb?utm_source=api&utm_medium=api&utm_campaign=reeditaccif,,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fapi.kimnet.ch%2Fmedia%2Fimdas-pro-ambl%2F_previews_%2Fbbea2cab-8706-468e-bec9-424661f764eb_001.jpg&type=IMAGE,"Deutsch, de",tribe,Archaeology and Museum Baselland,Liestal,CARARE,"Ethnologie, Porzellan, Messing, Kansatiede, Posliini, Messinki, Фарфор, Латунь, Этнология, Porcelana, Latão, Etnologia, Месинг, Етнология, Порцелан, Porcelianas, Etnologija, Žalvaris, Etnoloģija, Porcelāns, Misiņš, Porculan, Etnologija, Mjed, Porcelaine, Ethnologie, Laiton, Sárgaréz, Porcelán, Etnológia, Mosadz, Porcelán, Etnológia, Medenina, Etnologija, Porcelan, Prás, Eitneolaíocht, Poirceallán, Llautó, Porcellana, Etnologia, Mässing, Etnologi, Porslin, Ορείχαλκος, Πορσελάνη, Εθνολογία, Porcelain, Brass, sewing (needleworking technique), Ethnology, Ottone, Porcelana, Latón, cosido (proceso), Etnología, Portselan, Messing, Etnoloogia, Etnologie, Porcelán, Mosaz, Letoi, Etnologia, Portzelana, Porcelana, Mosiądz, Etnologia, Etnologie, Porțelan, Alamă, Etnologi, Porcelæn, Messing, naaien (naaldwerkprocedé), Etnologie, Messing, Porselein",tribe,CC BY-SA 4.0,,"Ovaler Korb, geflochten, mit zwei einfachen Henkeln aus Messing. Gepolsterte Auskleidung aus rot gemustertem Stoff (Textildruck) mit zwei Aussparungen, darin eine Teekanne aus Porzellan, blau bemalt, mit einfachem Henkel aus Draht und eine Teetasse aus Porzellan, blau bemalt, mit chinesischen (?) Schriftzeichen auf dem Tassenboden. Der Korb wird mit einem einfachen Verschluss aus Messing geschlossen.",,0,,0,,0,,0,,0,0,0,0,0,0,0,0,"Ethnologie, Frischhaltegefässe, Kühlgefässe,  http://vocab.getty.edu/aat/300053658, http://data.europeana.eu/concept/121",13/05/2020 00:00:00,11/12/2024 00:00:00,Isolierkorb für Teekanne,Isolierkorb für Teekanne,"Porzellan, Textildruck, genäht, geflochten,  http://data.europeana.eu/concept/1757",No date available,,-693961,-693961,0,"47,485207",0,"7,7353897",0,0,0,0,0
,,0,0,0,0,0,,,,No Info,,,,,,,,,porcelain,,,,,porcelain,No Data,,,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,-693961,-693961,0,,0,,0,0,0,0,0
,,0,0,0,0,0,,,,No Info,,,,,,,,,brass,,,,,brass,No Data,,,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,-693961,-693961,0,,0,,0,0,0,0,0
,,0,0,0,0,0,,,,No Info,,,,,,,,,etnologia Suomessa,,,,,etnologia Suomessa,No Data,,,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,-693961,-693961,0,,0,,0,0,0,0,0
,,0,0,0,0,0,,,,No Info,,,,,,,,,metal,,,,,metal,No Data,,,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,-693961,-693961,0,,0,,0,0,0,0,0
,,0,0,0,0,0,,,,No Info,,,,,,,,,Rechtsethnologie,,,,,Rechtsethnologie,No Data,,,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,-693961,-693961,0,,0,,0,0,0,0,0
,,0,0,0,0,0,,,,No Info,,,,,,,,,Düşman mısın Aşık mı?,,,,,Reprodução de Impresso,No Data,,,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,-693961,-693961,0,,0,,0,0,0,0,0
,,0,0,0,0,0,,,,No Info,,,,,,,,,bronze,,,,,a Pesagem do Sol com o Astrolábio Portátil de Latão e Observação com a Balestilha em Uma Náu Portuguesa do Séc. XVi,No Data,,,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,-693961,-693961,0,,0,,0,0,0,0,0
,,0,0,0,0,0,,,,No Info,,,,,,,,,Laitonjam,,,,,zinc-brass family,No Data,,,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,-693961,-693961,0,,0,,0,0,0,0,0
,,0,0,0,0,0,,,,No Info,,,,,,,,,meadow,,,,,Düşman mısın Aşık mı?,No Data,,,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,-693961,-693961,0,,0,,0,0,0,0,0
,,0,0,0,0,0,,,,No Info,,,,,,,,,Turban Band (Llauto),,,,,bronze,No Data,,,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,-693961,-693961,0,,0,,0,0,0,0,0
,,0,0,0,0,0,,,,No Info,,,,,,,,,fancy sewing,,,,,Laitonjam,No Data,,,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,-693961,-693961,0,,0,,0,0,0,0,0
