dataframe_index,original_url,generated_filename,download_status,error_message
0,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fapi.kimnet.ch%2Fmedia%2Fimdas-pro-ambl%2F_previews_%2Fbbea2cab-8706-468e-bec9-424661f764eb_001.jpg&type=IMAGE,image_1.jpg,Downloaded,
1,,,Skipped (Invalid URL),Empty or invalid URL found.
2,,,Skipped (Invalid URL),Empty or invalid URL found.
3,,,Skipped (Invalid URL),Empty or invalid URL found.
4,,,Skipped (Invalid URL),Empty or invalid URL found.
5,,,Skipped (Invalid URL),Empty or invalid URL found.
6,,,Skipped (Invalid URL),Empty or invalid URL found.
7,,,Skipped (Invalid URL),Empty or invalid URL found.
8,,,Skipped (Invalid URL),Empty or invalid URL found.
9,,,Skipped (Invalid URL),Empty or invalid URL found.
10,,,Skipped (Invalid URL),Empty or invalid URL found.
11,,,Skipped (Invalid URL),Empty or invalid URL found.
12,,,Skipped (Invalid URL),Empty or invalid URL found.
13,,,Skipped (Invalid URL),Empty or invalid URL found.
14,,,Skipped (Invalid URL),Empty or invalid URL found.
15,,,Skipped (Invalid URL),Empty or invalid URL found.
16,,,Skipped (Invalid URL),Empty or invalid URL found.
17,,,Skipped (Invalid URL),Empty or invalid URL found.
18,,,Skipped (Invalid URL),Empty or invalid URL found.
19,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fwww.pictures-bank.eu%2Fpokazobrazek2.php%3Ffileno%3D100940&type=IMAGE,image_2.jpg,Downloaded,
20,,,Skipped (Invalid URL),Empty or invalid URL found.
21,,,Skipped (Invalid URL),Empty or invalid URL found.
22,,,Skipped (Invalid URL),Empty or invalid URL found.
23,,,Skipped (Invalid URL),Empty or invalid URL found.
24,,,Skipped (Invalid URL),Empty or invalid URL found.
25,,,Skipped (Invalid URL),Empty or invalid URL found.
26,,,Skipped (Invalid URL),Empty or invalid URL found.
27,,,Skipped (Invalid URL),Empty or invalid URL found.
28,,,Skipped (Invalid URL),Empty or invalid URL found.
29,,,Skipped (Invalid URL),Empty or invalid URL found.
30,,,Skipped (Invalid URL),Empty or invalid URL found.
31,,,Skipped (Invalid URL),Empty or invalid URL found.
32,,,Skipped (Invalid URL),Empty or invalid URL found.
33,,,Skipped (Invalid URL),Empty or invalid URL found.
34,,,Skipped (Invalid URL),Empty or invalid URL found.
35,,,Skipped (Invalid URL),Empty or invalid URL found.
36,,,Skipped (Invalid URL),Empty or invalid URL found.
37,,,Skipped (Invalid URL),Empty or invalid URL found.
38,,,Skipped (Invalid URL),Empty or invalid URL found.
39,,,Skipped (Invalid URL),Empty or invalid URL found.
40,,,Skipped (Invalid URL),Empty or invalid URL found.
41,,,Skipped (Invalid URL),Empty or invalid URL found.
42,,,Skipped (Invalid URL),Empty or invalid URL found.
43,,,Skipped (Invalid URL),Empty or invalid URL found.
44,,,Skipped (Invalid URL),Empty or invalid URL found.
45,,,Skipped (Invalid URL),Empty or invalid URL found.
46,,,Skipped (Invalid URL),Empty or invalid URL found.
47,,,Skipped (Invalid URL),Empty or invalid URL found.
48,,,Skipped (Invalid URL),Empty or invalid URL found.
49,,,Skipped (Invalid URL),Empty or invalid URL found.
50,,,Skipped (Invalid URL),Empty or invalid URL found.
51,,,Skipped (Invalid URL),Empty or invalid URL found.
52,,,Skipped (Invalid URL),Empty or invalid URL found.
53,,,Skipped (Invalid URL),Empty or invalid URL found.
54,,,Skipped (Invalid URL),Empty or invalid URL found.
55,,,Skipped (Invalid URL),Empty or invalid URL found.
56,,,Skipped (Invalid URL),Empty or invalid URL found.
